stationid,date,year,month,day,variable,value,station_name,latitude,spei_date
USH00294426,1999-01-31,1999,1,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jan 1999
USH00294426,1999-02-28,1999,2,28,spei12mo,NA,JORNADA EXP RANGE,32.6169,Feb 1999
USH00294426,1999-03-31,1999,3,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Mar 1999
USH00294426,1999-04-30,1999,4,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Apr 1999
USH00294426,1999-05-31,1999,5,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,May 1999
USH00294426,1999-06-30,1999,6,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jun 1999
USH00294426,1999-07-31,1999,7,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Jul 1999
USH00294426,1999-08-31,1999,8,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Aug 1999
USH00294426,1999-09-30,1999,9,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Sep 1999
USH00294426,1999-10-31,1999,10,31,spei12mo,NA,JORNADA EXP RANGE,32.6169,Oct 1999
USH00294426,1999-11-30,1999,11,30,spei12mo,NA,JORNADA EXP RANGE,32.6169,Nov 1999
USH00294426,1999-12-31,1999,12,31,spei12mo,1.2505625634662778,JORNADA EXP RANGE,32.6169,Dec 1999
USH00294426,2000-01-31,2000,1,31,spei12mo,1.1877773382145072,JORNADA EXP RANGE,32.6169,Jan 2000
USH00294426,2000-02-29,2000,2,29,spei12mo,1.0673163780153612,JORNADA EXP RANGE,32.6169,Feb 2000
USH00294426,2000-03-31,2000,3,31,spei12mo,1.0432433012616211,JORNADA EXP RANGE,32.6169,Mar 2000
USH00294426,2000-04-30,2000,4,30,spei12mo,0.8322361875526001,JORNADA EXP RANGE,32.6169,Apr 2000
USH00294426,2000-05-31,2000,5,31,spei12mo,0.6060846806798349,JORNADA EXP RANGE,32.6169,May 2000
USH00294426,2000-06-30,2000,6,30,spei12mo,1.0309252897430823,JORNADA EXP RANGE,32.6169,Jun 2000
USH00294426,2000-07-31,2000,7,31,spei12mo,1.114377393588449,JORNADA EXP RANGE,32.6169,Jul 2000
USH00294426,2000-08-31,2000,8,31,spei12mo,0.47625856868199345,JORNADA EXP RANGE,32.6169,Aug 2000
USH00294426,2000-09-30,2000,9,30,spei12mo,-0.14309003693279393,JORNADA EXP RANGE,32.6169,Sep 2000
USH00294426,2000-10-31,2000,10,31,spei12mo,0.33205093289905324,JORNADA EXP RANGE,32.6169,Oct 2000
USH00294426,2000-11-30,2000,11,30,spei12mo,0.9034722210737636,JORNADA EXP RANGE,32.6169,Nov 2000
USH00294426,2000-12-31,2000,12,31,spei12mo,0.6949259210739624,JORNADA EXP RANGE,32.6169,Dec 2000
USH00294426,2001-01-31,2001,1,31,spei12mo,0.9825661607805739,JORNADA EXP RANGE,32.6169,Jan 2001
USH00294426,2001-02-28,2001,2,28,spei12mo,1.07417206039913,JORNADA EXP RANGE,32.6169,Feb 2001
USH00294426,2001-03-31,2001,3,31,spei12mo,1.0431715343773194,JORNADA EXP RANGE,32.6169,Mar 2001
USH00294426,2001-04-30,2001,4,30,spei12mo,1.1506941862673206,JORNADA EXP RANGE,32.6169,Apr 2001
USH00294426,2001-05-31,2001,5,31,spei12mo,1.2388897036381439,JORNADA EXP RANGE,32.6169,May 2001
USH00294426,2001-06-30,2001,6,30,spei12mo,0.30178298628445194,JORNADA EXP RANGE,32.6169,Jun 2001
USH00294426,2001-07-31,2001,7,31,spei12mo,-0.13776282112311172,JORNADA EXP RANGE,32.6169,Jul 2001
USH00294426,2001-08-31,2001,8,31,spei12mo,-0.18234906914568833,JORNADA EXP RANGE,32.6169,Aug 2001
USH00294426,2001-09-30,2001,9,30,spei12mo,0.8863638401765157,JORNADA EXP RANGE,32.6169,Sep 2001
USH00294426,2001-10-31,2001,10,31,spei12mo,-0.10365761785489473,JORNADA EXP RANGE,32.6169,Oct 2001
USH00294426,2001-11-30,2001,11,30,spei12mo,-0.5882305221551268,JORNADA EXP RANGE,32.6169,Nov 2001
USH00294426,2001-12-31,2001,12,31,spei12mo,-0.5499795011486465,JORNADA EXP RANGE,32.6169,Dec 2001
USH00294426,2002-01-31,2002,1,31,spei12mo,-0.7047361370133027,JORNADA EXP RANGE,32.6169,Jan 2002
USH00294426,2002-02-28,2002,2,28,spei12mo,-0.5547111475575375,JORNADA EXP RANGE,32.6169,Feb 2002
USH00294426,2002-03-31,2002,3,31,spei12mo,-0.5930579373479457,JORNADA EXP RANGE,32.6169,Mar 2002
USH00294426,2002-04-30,2002,4,30,spei12mo,-0.7834907569607586,JORNADA EXP RANGE,32.6169,Apr 2002
USH00294426,2002-05-31,2002,5,31,spei12mo,-0.6875541557722019,JORNADA EXP RANGE,32.6169,May 2002
USH00294426,2002-06-30,2002,6,30,spei12mo,-0.8953399970758528,JORNADA EXP RANGE,32.6169,Jun 2002
USH00294426,2002-07-31,2002,7,31,spei12mo,0.22019546377631563,JORNADA EXP RANGE,32.6169,Jul 2002
USH00294426,2002-08-31,2002,8,31,spei12mo,-0.001690890789532364,JORNADA EXP RANGE,32.6169,Aug 2002
USH00294426,2002-09-30,2002,9,30,spei12mo,-0.6738253295244281,JORNADA EXP RANGE,32.6169,Sep 2002
USH00294426,2002-10-31,2002,10,31,spei12mo,-0.2636588892902386,JORNADA EXP RANGE,32.6169,Oct 2002
USH00294426,2002-11-30,2002,11,30,spei12mo,-0.10500196461929726,JORNADA EXP RANGE,32.6169,Nov 2002
USH00294426,2002-12-31,2002,12,31,spei12mo,0.2690635260201403,JORNADA EXP RANGE,32.6169,Dec 2002
USH00294426,2003-01-31,2003,1,31,spei12mo,0.1439450953197126,JORNADA EXP RANGE,32.6169,Jan 2003
USH00294426,2003-02-28,2003,2,28,spei12mo,0.27571660463104836,JORNADA EXP RANGE,32.6169,Feb 2003
USH00294426,2003-03-31,2003,3,31,spei12mo,0.2864637862040243,JORNADA EXP RANGE,32.6169,Mar 2003
USH00294426,2003-04-30,2003,4,30,spei12mo,0.5806925881444183,JORNADA EXP RANGE,32.6169,Apr 2003
USH00294426,2003-05-31,2003,5,31,spei12mo,0.5007655040785411,JORNADA EXP RANGE,32.6169,May 2003
USH00294426,2003-06-30,2003,6,30,spei12mo,0.804637958546036,JORNADA EXP RANGE,32.6169,Jun 2003
USH00294426,2003-07-31,2003,7,31,spei12mo,-0.29903829753226624,JORNADA EXP RANGE,32.6169,Jul 2003
USH00294426,2003-08-31,2003,8,31,spei12mo,-0.7347332210906343,JORNADA EXP RANGE,32.6169,Aug 2003
USH00294426,2003-09-30,2003,9,30,spei12mo,-0.7853767294105393,JORNADA EXP RANGE,32.6169,Sep 2003
USH00294426,2003-10-31,2003,10,31,spei12mo,-1.1895199110254735,JORNADA EXP RANGE,32.6169,Oct 2003
USH00294426,2003-11-30,2003,11,30,spei12mo,-1.0486681762542205,JORNADA EXP RANGE,32.6169,Nov 2003
USH00294426,2003-12-31,2003,12,31,spei12mo,-1.448650518726243,JORNADA EXP RANGE,32.6169,Dec 2003
USH00294426,2004-01-31,2004,1,31,spei12mo,-1.386286546004615,JORNADA EXP RANGE,32.6169,Jan 2004
USH00294426,2004-02-29,2004,2,29,spei12mo,-1.5246379856783003,JORNADA EXP RANGE,32.6169,Feb 2004
USH00294426,2004-03-31,2004,3,31,spei12mo,-1.3944830463196847,JORNADA EXP RANGE,32.6169,Mar 2004
USH00294426,2004-04-30,2004,4,30,spei12mo,-1.4351575290923062,JORNADA EXP RANGE,32.6169,Apr 2004
USH00294426,2004-05-31,2004,5,31,spei12mo,-1.3579414016435611,JORNADA EXP RANGE,32.6169,May 2004
USH00294426,2004-06-30,2004,6,30,spei12mo,-0.9717282684081923,JORNADA EXP RANGE,32.6169,Jun 2004
USH00294426,2004-07-31,2004,7,31,spei12mo,-0.383048471850782,JORNADA EXP RANGE,32.6169,Jul 2004
USH00294426,2004-08-31,2004,8,31,spei12mo,0.11653293318641245,JORNADA EXP RANGE,32.6169,Aug 2004
USH00294426,2004-09-30,2004,9,30,spei12mo,1.0123801815724058,JORNADA EXP RANGE,32.6169,Sep 2004
USH00294426,2004-10-31,2004,10,31,spei12mo,1.3274357771135714,JORNADA EXP RANGE,32.6169,Oct 2004
USH00294426,2004-11-30,2004,11,30,spei12mo,1.5207663269564153,JORNADA EXP RANGE,32.6169,Nov 2004
USH00294426,2004-12-31,2004,12,31,spei12mo,1.5812367557958562,JORNADA EXP RANGE,32.6169,Dec 2004
USH00294426,2005-01-31,2005,1,31,spei12mo,1.4912536834216494,JORNADA EXP RANGE,32.6169,Jan 2005
USH00294426,2005-02-28,2005,2,28,spei12mo,1.712467392850671,JORNADA EXP RANGE,32.6169,Feb 2005
USH00294426,2005-03-31,2005,3,31,spei12mo,1.6251858675288606,JORNADA EXP RANGE,32.6169,Mar 2005
USH00294426,2005-04-30,2005,4,30,spei12mo,1.6040925414333909,JORNADA EXP RANGE,32.6169,Apr 2005
USH00294426,2005-05-31,2005,5,31,spei12mo,1.7092042349761036,JORNADA EXP RANGE,32.6169,May 2005
USH00294426,2005-06-30,2005,6,30,spei12mo,1.3576789302416812,JORNADA EXP RANGE,32.6169,Jun 2005
USH00294426,2005-07-31,2005,7,31,spei12mo,0.9505911083410179,JORNADA EXP RANGE,32.6169,Jul 2005
USH00294426,2005-08-31,2005,8,31,spei12mo,0.5763448678324423,JORNADA EXP RANGE,32.6169,Aug 2005
USH00294426,2005-09-30,2005,9,30,spei12mo,0.017759687446475093,JORNADA EXP RANGE,32.6169,Sep 2005
USH00294426,2005-10-31,2005,10,31,spei12mo,-0.0745598212179149,JORNADA EXP RANGE,32.6169,Oct 2005
USH00294426,2005-11-30,2005,11,30,spei12mo,-0.6021982691666519,JORNADA EXP RANGE,32.6169,Nov 2005
USH00294426,2005-12-31,2005,12,31,spei12mo,-0.8243739439679244,JORNADA EXP RANGE,32.6169,Dec 2005
USH00294426,2006-01-31,2006,1,31,spei12mo,-0.8030238546820907,JORNADA EXP RANGE,32.6169,Jan 2006
USH00294426,2006-02-28,2006,2,28,spei12mo,-1.228079437840057,JORNADA EXP RANGE,32.6169,Feb 2006
USH00294426,2006-03-31,2006,3,31,spei12mo,-1.2728472890416769,JORNADA EXP RANGE,32.6169,Mar 2006
USH00294426,2006-04-30,2006,4,30,spei12mo,-1.3355547805023145,JORNADA EXP RANGE,32.6169,Apr 2006
USH00294426,2006-05-31,2006,5,31,spei12mo,-1.4602694533009692,JORNADA EXP RANGE,32.6169,May 2006
USH00294426,2006-06-30,2006,6,30,spei12mo,-1.5460088334746496,JORNADA EXP RANGE,32.6169,Jun 2006
USH00294426,2006-07-31,2006,7,31,spei12mo,-1.5138874458014098,JORNADA EXP RANGE,32.6169,Jul 2006
USH00294426,2006-08-31,2006,8,31,spei12mo,0.06421547260085989,JORNADA EXP RANGE,32.6169,Aug 2006
USH00294426,2006-09-30,2006,9,30,spei12mo,0.4702691260753233,JORNADA EXP RANGE,32.6169,Sep 2006
USH00294426,2006-10-31,2006,10,31,spei12mo,1.3078597977253543,JORNADA EXP RANGE,32.6169,Oct 2006
USH00294426,2006-11-30,2006,11,30,spei12mo,1.1222130257958929,JORNADA EXP RANGE,32.6169,Nov 2006
USH00294426,2006-12-31,2006,12,31,spei12mo,1.1479478366307623,JORNADA EXP RANGE,32.6169,Dec 2006
USH00294426,2007-01-31,2007,1,31,spei12mo,1.3244025915753666,JORNADA EXP RANGE,32.6169,Jan 2007
USH00294426,2007-02-28,2007,2,28,spei12mo,1.2963361773650441,JORNADA EXP RANGE,32.6169,Feb 2007
USH00294426,2007-03-31,2007,3,31,spei12mo,1.3318767807906768,JORNADA EXP RANGE,32.6169,Mar 2007
USH00294426,2007-04-30,2007,4,30,spei12mo,1.4038295953882243,JORNADA EXP RANGE,32.6169,Apr 2007
USH00294426,2007-05-31,2007,5,31,spei12mo,1.60996633221523,JORNADA EXP RANGE,32.6169,May 2007
USH00294426,2007-06-30,2007,6,30,spei12mo,1.8199175981650864,JORNADA EXP RANGE,32.6169,Jun 2007
USH00294426,2007-07-31,2007,7,31,spei12mo,2.084832617438282,JORNADA EXP RANGE,32.6169,Jul 2007
USH00294426,2007-08-31,2007,8,31,spei12mo,1.9552214917079969,JORNADA EXP RANGE,32.6169,Aug 2007
USH00294426,2007-09-30,2007,9,30,spei12mo,1.7848004378039202,JORNADA EXP RANGE,32.6169,Sep 2007
USH00294426,2007-10-31,2007,10,31,spei12mo,0.9391839052158938,JORNADA EXP RANGE,32.6169,Oct 2007
USH00294426,2007-11-30,2007,11,30,spei12mo,0.9936592715862045,JORNADA EXP RANGE,32.6169,Nov 2007
USH00294426,2007-12-31,2007,12,31,spei12mo,0.9277858889657855,JORNADA EXP RANGE,32.6169,Dec 2007
USH00294426,2008-01-31,2008,1,31,spei12mo,0.829410112866988,JORNADA EXP RANGE,32.6169,Jan 2008
USH00294426,2008-02-29,2008,2,29,spei12mo,0.6480359446345646,JORNADA EXP RANGE,32.6169,Feb 2008
USH00294426,2008-03-31,2008,3,31,spei12mo,0.6369737688567145,JORNADA EXP RANGE,32.6169,Mar 2008
USH00294426,2008-04-30,2008,4,30,spei12mo,0.6640095914847661,JORNADA EXP RANGE,32.6169,Apr 2008
USH00294426,2008-05-31,2008,5,31,spei12mo,0.3233226932190406,JORNADA EXP RANGE,32.6169,May 2008
USH00294426,2008-06-30,2008,6,30,spei12mo,0.07275309978219435,JORNADA EXP RANGE,32.6169,Jun 2008
USH00294426,2008-07-31,2008,7,31,spei12mo,1.2411134428942103,JORNADA EXP RANGE,32.6169,Jul 2008
USH00294426,2008-08-31,2008,8,31,spei12mo,1.6167479846925399,JORNADA EXP RANGE,32.6169,Aug 2008
USH00294426,2008-09-30,2008,9,30,spei12mo,1.9498069787481942,JORNADA EXP RANGE,32.6169,Sep 2008
USH00294426,2008-10-31,2008,10,31,spei12mo,2.2149542754784597,JORNADA EXP RANGE,32.6169,Oct 2008
USH00294426,2008-11-30,2008,11,30,spei12mo,1.8420594856531918,JORNADA EXP RANGE,32.6169,Nov 2008
USH00294426,2008-12-31,2008,12,31,spei12mo,1.6787021940563815,JORNADA EXP RANGE,32.6169,Dec 2008
USH00294426,2009-01-31,2009,1,31,spei12mo,1.6258516476785927,JORNADA EXP RANGE,32.6169,Jan 2009
USH00294426,2009-02-28,2009,2,28,spei12mo,1.4607152167877402,JORNADA EXP RANGE,32.6169,Feb 2009
USH00294426,2009-03-31,2009,3,31,spei12mo,1.4261116007323333,JORNADA EXP RANGE,32.6169,Mar 2009
USH00294426,2009-04-30,2009,4,30,spei12mo,1.3569235629520677,JORNADA EXP RANGE,32.6169,Apr 2009
USH00294426,2009-05-31,2009,5,31,spei12mo,1.2421106777712112,JORNADA EXP RANGE,32.6169,May 2009
USH00294426,2009-06-30,2009,6,30,spei12mo,1.4639159975759077,JORNADA EXP RANGE,32.6169,Jun 2009
USH00294426,2009-07-31,2009,7,31,spei12mo,-0.056443432863330076,JORNADA EXP RANGE,32.6169,Jul 2009
USH00294426,2009-08-31,2009,8,31,spei12mo,-0.6568574687891288,JORNADA EXP RANGE,32.6169,Aug 2009
USH00294426,2009-09-30,2009,9,30,spei12mo,-0.923279792559087,JORNADA EXP RANGE,32.6169,Sep 2009
USH00294426,2009-10-31,2009,10,31,spei12mo,-0.7719722850974817,JORNADA EXP RANGE,32.6169,Oct 2009
USH00294426,2009-11-30,2009,11,30,spei12mo,-0.8062877433008868,JORNADA EXP RANGE,32.6169,Nov 2009
USH00294426,2009-12-31,2009,12,31,spei12mo,-0.498830731013626,JORNADA EXP RANGE,32.6169,Dec 2009
USH00294426,2010-01-31,2010,1,31,spei12mo,-0.28212963519759887,JORNADA EXP RANGE,32.6169,Jan 2010
USH00294426,2010-02-28,2010,2,28,spei12mo,-0.02170855053888015,JORNADA EXP RANGE,32.6169,Feb 2010
USH00294426,2010-03-31,2010,3,31,spei12mo,0.12234477987178809,JORNADA EXP RANGE,32.6169,Mar 2010
USH00294426,2010-04-30,2010,4,30,spei12mo,0.16064362399022888,JORNADA EXP RANGE,32.6169,Apr 2010
USH00294426,2010-05-31,2010,5,31,spei12mo,0.30598346730483944,JORNADA EXP RANGE,32.6169,May 2010
USH00294426,2010-06-30,2010,6,30,spei12mo,0.1696784618548877,JORNADA EXP RANGE,32.6169,Jun 2010
